ID,Region
TM01,ARNP
TM02,ARNP
TM03,ARNP
TM04,ARNP
TM05,ARNP
TM06,Batangas
TM07,Batangas
TM10,Calaguas
TM11,Calaguas
TM12,Calaguas
TM13,Calaguas
TM14,Calaguas
TM15,Calaguas
TM16,ARNP
TM17,Bohol
TM18,Bohol
TM19,Bohol
TM20,Camiguin
TM21,Camiguin
TM22,Camiguin
TM23,Samar
TM24,Samar
TM25,Samar
TM26,Antique
TM27,Antique
TM28,Antique
