region,latitude,longitude,cluster
Alaminos,16.2218333,120.0484167,E
Antique,12.08708129,121.3460231,D
ARNP,12.6618,120.4357333,F
Batangas,13.68765,120.8898,D
Bohol,9.6287333,123.8048167,D
Bolinao,16.44411667,119.9215333,E
Calaguas,14.46246667,122.9573,D
Camiguin,9.107413439,124.8032036,D
Palawan,9.914205334,118.877206,F
Samar,11.0583,125.6537,E
Zambales,15.5298667,119.9248167,F
