sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TG15	Y1	HN00102818	SILAQUI-Tg-4_1.fastq.gz	SILAQUI-Tg-4_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	49	9	2009	Origin	0	9		
TG16	Y1	HN00102818	SILAQUI-Tg-5_1.fastq.gz	SILAQUI-Tg-5_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	44	9	2009	Origin	0	9		
TG17	Y1	HN00102818	Tg-1998-1_1.fastq.gz	Tg-1998-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	68	20	1998	Origin	0	20		
TG18	Y1	HN00102818	Tg-1998-2_1.fastq.gz	Tg-1998-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	69	20	1998	Origin	0	20		
TG19	Y1	HN00102818	Tg-1998-5_1.fastq.gz	Tg-1998-5_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	72	20	1998	Origin	0	20		
TG20	Y1	HN00102818	Tg-1yr-1_1.fastq.gz	Tg-1yr-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	9	1	2017	Origin	0	1		
TG21	Y1	HN00102818	Tg-1yr-2_1.fastq.gz	Tg-1yr-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	10	1	2017	Origin	0	1		
TG22	Y1	HN00102818	Tg-1yr-3_1.fastq.gz	Tg-1yr-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	12	1	2017	Origin	0	1		
TG23	Y1	HN00102818	Tg-2000-1_1.fastq.gz	Tg-2000-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	69	18	2000	Origin	0	18		
TG24	Y1	HN00102818	Tg-2000-2_1.fastq.gz	Tg-2000-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	65	18	2000	Origin	0	18		
TG25	Y1	HN00102818	Tg-2000-3_1.fastq.gz	Tg-2000-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	70	18	2000	Origin	0	18		
TG26	Y1	HN00102818	Tg-2002-3_1.fastq.gz	Tg-2002-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	54	16	2002	Origin	0	16		
TG27	Y1	HN00102818	Tg-2002-4_1.fastq.gz	Tg-2002-4_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	60	16	2002	Origin	0	16		
TG28	Y1	HN00102818	Tg-2002-5_1.fastq.gz	Tg-2002-5_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	63	16	2002	Origin	0	16		
