SampleID,Haplotype,Region
TC13,I,Zambales
TC12,II,Zambales
TC29,III,Alaminos
TC15,IV,ARNP
TC18,IV,Bohol
TC21,IX,Camiguin
TC11,V,Zambales
TC10,VI,Zambales
TC19,VII,Bohol
TC22,VIII,Camiguin
TC23,VIII,Camiguin
TC24,X,Samar
TC25,X,Samar
TC20,XI,Bohol
TC07,XII,ARNP
TC28,XII,Alaminos
TC16,XIII,ARNP
TC14,XIV,ARNP
TC09,XIX,Zambales
TC27,XV,Alaminos
TC06,XVI,ARNP
TC08,XVII,Zambales
TC26,XVIII,Samar
TC17,XX,ARNP
