SampleID,Region
TD07,ARNP
TD08,Palawan
TD09,ARNP
TD10,Camiguin
TD11,Camiguin
TD12,Camiguin
TD13,Samar
TD14,Samar
TD15,Samar
TD16,Bolinao
TD17,Bolinao
TD18,Bolinao
TD19,Antique
TD20,Antique
TD21,Antique
