SampleID,Haplotype,Region
TS24,I,Camiguin
TS21,I,Bohol
TS31,I,Bolinao
TS30,I,Bolinao
TS15,I,Zambales
TS16,I,Zambales
TS29,I,Samar
TS18,I,Palawan
TS17,I,Zambales
TS32,I,Bolinao
TS11,I,Calaguas
TS27,I,Samar
TS25,I,Camiguin
TS20,I,Palawan
TS12,I,Calaguas
TS14,I,Calaguas
TS23,I,Bohol
TS09,I,Calaguas
TS33,I,Antique
TS35,I,Antique
TS26,II,Camiguin
TS13,II,Calaguas
TS19,II,Palawan
TS22,II,Bohol
TS10,II,Calaguas
TS28,III,Samar
TS08,IV,Batangas
