SampleID,Haplotype,Region
TN11,I,Calaguas
TN07,I,Calaguas
TN12,I,Calaguas
TN09,I,Calaguas
TN06,I,Batangas
TN10,I,Calaguas
TN13,I,Calaguas
TN08,I,Calaguas
TN05,I,Batangas
TN17,I,Calaguas
TN15,II,Calaguas
TN16,II,Calaguas
TN14,III,Calaguas
