SampleID,Region
TC13,Zambales
TC12,Zambales
TC29,Alaminos
TC15,ARNP
TC18,Bohol
TC11,Zambales
TC10,Zambales
TC19,Bohol
TC22,Camiguin
TC21,Camiguin
TC24,Samar
TC25,Samar
TC20,Bohol
TC07,ARNP
TC28,Alaminos
TC16,ARNP
TC14,ARNP
TC23,Camiguin
TC27,Alaminos
TC06,ARNP
TC08,Zambales
TC26,Samar
TC09,Zambales
TC17,ARNP
TC30,ARNP
