SampleID,Region
TN05,Batangas
TN06,Batangas
TN07,Calaguas
TN08,Calaguas
TN09,Calaguas
TN10,Calaguas
TN11,Calaguas
TN12,Calaguas
TN13,Calaguas
TN14,Calaguas
TN15,Calaguas
TN16,Calaguas
TN17,Calaguas
