SampleID,Haplotype,Region
TD14,I,Samar
TD16,I,Bolinao
TD18,I,Bolinao
TD17,I,Bolinao
TD15,I,Samar
TD07,I,ARNP
TD11,II,Camiguin
TD10,II,Camiguin
TD12,II,Camiguin
TD09,II,ARNP
TD20,II,Antique
TD19,II,Antique
TD21,II,Antique
TD08,III,Palawan
TD13,IV,Samar
