SampleID,Haplotype,Region
TG38,I,Batangas
TG36,I,Alaminos
TG46,I,Zambales
TG44,I,Zambales
TG56,I,Bohol
TG52,I,Antique
TG39,I,Batangas
TG45,I,Zambales
TG64,I,Camiguin
TG62,I,Camiguin
TG37,I,Alaminos
TG40,I,Batangas
TG35,I,Alaminos
TG55,I,Bolinao
TG54,I,Bolinao
TG61,I,Camiguin
TG60,I,Camiguin
TG66,I,Samar
TG63,I,Camiguin
TG53,I,Bolinao
TG42,I,Batangas
TG59,I,Camiguin
TG51,I,Antique
TG48,II,Palawan
TG49,III,Palawan
TG58,IV,Bohol
TG57,IV,Bohol
TG43,IV,Batangas
TG67,IV,Samar
TG47,IV,Palawan
