SampleID,Region
HH01,Antique
HH02,ARNP
HH03,ARNP
HH05,ARNP
HH06,Antique
HH07,Antique
HH08,Bohol
HH09,Bohol
HH10,Bohol
HH11,Camiguin
HH12,Camiguin
HH13,Camiguin
HH14,Samar
HH15,Samar
HH16,Samar
HH17,Bolinao
HH18,Bolinao
HH19,Bolinao
HH20,ARNP
