SampleID,Region
TS07,Batangas
TS08,Batangas
TS09,Calaguas
TS10,Calaguas
TS11,Calaguas
TS12,Calaguas
TS13,Calaguas
TS14,Calaguas
TS15,Zambales
TS16,Zambales
TS17,Zambales
TS18,Palawan
TS19,Palawan
TS20,Palawan
TS21,Bohol
TS22,Bohol
TS23,Bohol
TS24,Camiguin
TS25,Camiguin
TS26,Camiguin
TS27,Samar
TS28,Samar
TS29,Samar
TS30,Bolinao
TS31,Bolinao
TS32,Bolinao
TS33,Antique
TS34,Antique
TS35,Antique
