SampleID,Region
TG35,Alaminos
TG36,Alaminos
TG37,Alaminos
TG38,Batangas
TG39,Batangas
TG40,Batangas
TG42,Batangas
TG43,Batangas
TG44,Zambales
TG45,Zambales
TG46,Zambales
TG47,Palawan
TG48,Palawan
TG49,Palawan
TG51,Antique
TG52,Antique
TG53,Bolinao
TG54,Bolinao
TG55,Bolinao
TG56,Bohol
TG57,Bohol
TG58,Bohol
TG59,Camiguin
TG60,Camiguin
TG61,Camiguin
TG62,Camiguin
TG63,Camiguin
TG64,Camiguin
TG66,Samar
TG67,Samar
