SampleID,Haplotype,Region
HH06,I,Antique
HH07,I,Antique
HH12,II,Camiguin
HH13,II,Camiguin
HH18,II,Bolinao
HH17,II,Bolinao
HH11,II,Camiguin
HH08,II,Bohol
HH09,III,Bohol
HH10,III,Bohol
HH01,IV,Antique
HH19,IV,Bolinao
HH16,IV,Samar
HH15,IV,Samar
HH14,IV,Samar
HH03,IV,ARNP
HH02,IV,ARNP
HH05,V,ARNP
