.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
RelativeAbundance,A,C,165,165,11.369327488470963,5.944381386050749e-30,1.7833144158152246e-29,****
RelativeAbundance,A,D,165,165,3.008142607475918,0.0026284976300289527,0.0026284976300289527,**
RelativeAbundance,C,D,165,165,-8.361184880995046,6.209145269938229e-17,9.313717904907343e-17,****
